Category,Subcategory,Difficulty,Question,Answer,Image
MOVIES,ACTORS,EASY,Name this actor,Brad Pitt,resources/actors/qm-actors-001.jpg
MOVIES,ACTORS,EASY,Name this actor,Harrison Ford,resources/actors/qm-actors-002.jpg
MOVIES,ACTORS,EASY,Name this actor,Tom Cruise,resources/actors/qm-actors-003.jpg
MOVIES,ACTORS,EASY,Name this actor,Matt Damon,resources/actors/qm-actors-004.jpg
MOVIES,ACTORS,EASY,Name this actor,Johnny Depp,resources/actors/qm-actors-005.jpg
MOVIES,ACTORS,EASY,Name this actor,Keanu Reeves,resources/actors/qm-actors-006.jpg
MOVIES,ACTORS,EASY,Name this actor,Robert De Niro,resources/actors/qm-actors-007.jpg
MOVIES,ACTORS,EASY,Name this actor,Kevin Spacey,resources/actors/qm-actors-008.jpg
MOVIES,ACTORS,EASY,Name this actor,George Clooney,resources/actors/qm-actors-009.jpg
MOVIES,ACTORS,EASY,Name this actor,Samuel L Jackson,resources/actors/qm-actors-010.jpg
MOVIES,ACTORS,EASY,Name this actor,Heath Ledger,resources/actors/qm-actors-011.jpg
MOVIES,ACTORS,EASY,Name this actor,Jake Gyllenhaal,resources/actors/qm-actors-012.jpg
MOVIES,ACTORS,EASY,Name this actor,Jack Nicholson,resources/actors/qm-actors-013.jpg
MOVIES,ACTORS,EASY,Name this actor,Robert Downey Jr,resources/actors/qm-actors-014.jpg
MOVIES,ACTORS,EASY,Name this actor,Tom Hanks,resources/actors/qm-actors-015.jpg
MOVIES,ACTORS,EASY,Name this actor,Russell Crowe,resources/actors/qm-actors-016.jpg
MOVIES,ACTORS,EASY,Name this actor,Hugh Grant,resources/actors/qm-actors-017.jpg
MOVIES,ACTORS,EASY,Name this actor,Daniel Craig,resources/actors/qm-actors-018.jpg
MOVIES,ACTORS,EASY,Name this actor,Sean Connery,resources/actors/qm-actors-019.jpg
MOVIES,ACTORS,MEDIUM,Name this actor,Jonah Hill,resources/actors/qm-actors-020.jpg
MOVIES,ACTORS,MEDIUM,Name this actor,Michael Douglas,resources/actors/qm-actors-021.jpg
MOVIES,ACTORS,MEDIUM,Name this actor,Ben Affleck,resources/actors/qm-actors-022.jpg
MOVIES,ACTORS,MEDIUM,Name this actor,Elijah Wood,resources/actors/qm-actors-023.jpg
MOVIES,ACTORS,MEDIUM,Name this actor,John Travolta,resources/actors/qm-actors-024.jpg
MOVIES,ACTORS,MEDIUM,Name this actor,Chaning Tatum,resources/actors/qm-actors-025.jpg
MOVIES,ACTORS,MEDIUM,Name this actor,Emile Hirsch,resources/actors/qm-actors-026.jpg
MOVIES,ACTORS,MEDIUM,Name this actor,Zac Efron,resources/actors/qm-actors-027.jpg
MOVIES,ACTORS,MEDIUM,Name this actor,Mel Gibson,resources/actors/qm-actors-028.jpg
MOVIES,ACTORS,MEDIUM,Name this actor,Nicolas Cage,resources/actors/qm-actors-029.jpg
MOVIES,ACTORS,MEDIUM,Name this actor,Bruce Willis,resources/actors/qm-actors-030.jpg
MOVIES,ACTORS,MEDIUM,Name this actor,Anthony Hopkins,resources/actors/qm-actors-031.jpg
MOVIES,ACTORS,MEDIUM,Name this actor,Will Smith,resources/actors/qm-actors-032.jpg
MOVIES,ACTORS,MEDIUM,Name this actor,Taylor Lautner,resources/actors/qm-actors-033.jpg
MOVIES,ACTORS,MEDIUM,Name this actor,Bradley Cooper,resources/actors/qm-actors-034.jpg
MOVIES,ACTORS,MEDIUM,Name this actor,Pierce Brosnan,resources/actors/qm-actors-035.jpg
MOVIES,ACTORS,MEDIUM,Name this actor,Ashton Kutcher,resources/actors/qm-actors-036.jpg
MOVIES,ACTORS,MEDIUM,Name this actor,Ryan Reynolds,resources/actors/qm-actors-037.jpg
MOVIES,ACTORS,MEDIUM,Name this actor,Gerard Butler,resources/actors/qm-actors-038.jpg
MOVIES,ACTORS,MEDIUM,Name this actor,Richard Gere,resources/actors/qm-actors-039.jpg
MOVIES,ACTORS,MEDIUM,Name this actor,Gary Oldman,resources/actors/qm-actors-040.jpg
MOVIES,ACTORS,MEDIUM,Name this actor,Chace Crawford,resources/actors/qm-actors-041.jpg
MOVIES,ACTORS,MEDIUM,Name this actor,Jude Law,resources/actors/qm-actors-042.jpg
MOVIES,ACTORS,MEDIUM,Name this actor,Leonardo Dicaprio,resources/actors/qm-actors-043.jpg
MOVIES,ACTORS,MEDIUM,Name this actor,Morgan Freeman,resources/actors/qm-actors-044.jpg
MOVIES,ACTORS,MEDIUM,Name this actor,Daniel Day Lewis,resources/actors/qm-actors-045.jpg
MOVIES,ACTORS,MEDIUM,Name this actor,Patrick Swayze,resources/actors/qm-actors-046.jpg
MOVIES,ACTORS,MEDIUM,Name this actor,Javier Bardem,resources/actors/qm-actors-047.jpg
MOVIES,ACTORS,MEDIUM,Name this actor,Billy Zane,resources/actors/qm-actors-048.jpg
MOVIES,ACTORS,MEDIUM,Name this actor,James McAvoy,resources/actors/qm-actors-049.jpg
MOVIES,ACTORS,MEDIUM,Name this actor,Mickey Rourke,resources/actors/qm-actors-050.jpg
MOVIES,ACTORS,MEDIUM,Name this actor,Hugh Jackman,resources/actors/qm-actors-051.jpg
MOVIES,ACTORS,MEDIUM,Name this actor,Benicio Del Toro,resources/actors/qm-actors-052.jpg
MOVIES,ACTORS,MEDIUM,Name this actor,Colin Farrell,resources/actors/qm-actors-053.jpg
MOVIES,ACTORS,MEDIUM,Name this actor,Bryan Cranston,resources/actors/qm-actors-054.jpg
MOVIES,ACTORS,MEDIUM,Name this actor,Martin Freeman,resources/actors/qm-actors-055.jpg
MOVIES,ACTORS,MEDIUM,Name this actor,John Malkovich,resources/actors/qm-actors-056.jpg
MOVIES,ACTORS,MEDIUM,Name this actor,Alan Rickman,resources/actors/qm-actors-057.jpg
MOVIES,ACTORS,MEDIUM,Name this actor,Michael Caine,resources/actors/qm-actors-058.jpg
MOVIES,ACTORS,MEDIUM,Name this actor,Shia Labeouf,resources/actors/qm-actors-059.jpg
MOVIES,ACTORS,HARD,Name this actor,Jason Bateman,resources/actors/qm-actors-060.jpg
MOVIES,ACTORS,HARD,Name this actor,Damien Lewis,resources/actors/qm-actors-061.jpg
MOVIES,ACTORS,HARD,Name this actor,Colin Firth,resources/actors/qm-actors-062.jpg
MOVIES,ACTORS,HARD,Name this actor,Ralph Fiennes,resources/actors/qm-actors-063.jpg
MOVIES,ACTORS,HARD,Name this actor,Viggo Mortensen,resources/actors/qm-actors-064.jpg
MOVIES,ACTORS,HARD,Name this actor,Liam Neeson,resources/actors/qm-actors-065.jpg
MOVIES,ACTORS,HARD,Name this actor,Tim Roth,resources/actors/qm-actors-066.jpg
MOVIES,ACTORS,HARD,Name this actor,Dennis Hopper,resources/actors/qm-actors-067.jpg
MOVIES,ACTORS,HARD,Name this actor,Charlie Hunnam,resources/actors/qm-actors-068.jpg
MOVIES,ACTORS,HARD,Name this actor,Sean Bean,resources/actors/qm-actors-069.jpg
MOVIES,ACTORS,HARD,Name this actor,Ian McKellen,resources/actors/qm-actors-070.jpg
MOVIES,ACTORS,HARD,Name this actor,Bill Nighy,resources/actors/qm-actors-071.jpg
MOVIES,ACTORS,HARD,Name this actor,Christopher Lee,resources/actors/qm-actors-072.jpg
MOVIES,ACTORS,HARD,Name this actor,James Franco,resources/actors/qm-actors-073.jpg
MOVIES,ACTORS,HARD,Name this actor,Patrick Stewart,resources/actors/qm-actors-074.jpg
MOVIES,ACTORS,HARD,Name this actor,Jonny Lee Miller,resources/actors/qm-actors-075.jpg
MOVIES,ACTORS,HARD,Name this actor,Rupert Grint,resources/actors/qm-actors-076.jpg
MOVIES,ACTORS,HARD,Name this actor,Cuba Gooding Jr,resources/actors/qm-actors-077.jpg
MOVIES,ACTORS,HARD,Name this actor,Clive Owen,resources/actors/qm-actors-078.jpg
MOVIES,ACTORS,HARD,Name this actor,Charles Dance,resources/actors/qm-actors-079.jpg
MOVIES,ACTORS,HARD,Name this actor,Joseph Fiennes,resources/actors/qm-actors-080.jpg
MOVIES,ACTORS,HARD,Name this actor,Guy Pearce,resources/actors/qm-actors-081.jpg
MOVIES,ACTORS,HARD,Name this actor,Jim Broadbent,resources/actors/qm-actors-082.jpg
MOVIES,ACTORS,HARD,Name this actor,Mark Strong,resources/actors/qm-actors-083.jpg
MOVIES,ACTORS,HARD,Name this actor,Aaron Eckhart,resources/actors/qm-actors-084.jpg
MOVIES,ACTORS,HARD,Name this actor,Chris Hemsworth,resources/actors/qm-actors-085.jpg
MOVIES,ACTORS,HARD,Name this actor,Ray Winstone,resources/actors/qm-actors-086.jpg
MOVIES,ACTORS,HARD,Name this actor,Robert Carlyle,resources/actors/qm-actors-087.jpg
MOVIES,ACTORS,HARD,Name this actor,Ben Whishaw,resources/actors/qm-actors-088.jpg
MOVIES,ACTORS,HARD,Name this actor,Brian Cox,resources/actors/qm-actors-089.jpg
MOVIES,ACTORS,HARD,Name this actor,Vin Diesel,resources/actors/qm-actors-090.jpg
MOVIES,ACTORS,HARD,Name this actor,Cillian Murphy,resources/actors/qm-actors-091.jpg
MOVIES,ACTORS,HARD,Name this actor,Tom Hiddelston,resources/actors/qm-actors-092.jpg
MOVIES,ACTORS,HARD,Name this actor,Ciaran Hinds,resources/actors/qm-actors-093.jpg
MOVIES,ACTORS,HARD,Name this actor,Stephen Graham,resources/actors/qm-actors-094.jpg
MOVIES,ACTORS,HARD,Name this actor,Josh Brolin,resources/actors/qm-actors-095.jpg
MOVIES,ACTORS,HARD,Name this actor,Tamer Hassan,resources/actors/qm-actors-096.jpg
MOVIES,ACTORS,HARD,Name this actor,Jeremy Piven,resources/actors/qm-actors-097.jpg
MOVIES,ACTORS,HARD,Name this actor,Paul Bettany,resources/actors/qm-actors-098.jpg
MOVIES,ACTORS,HARD,Name this actor,Jean Dujardin,resources/actors/qm-actors-099.jpg
MOVIES,ACTORS,HARD,Name this actor,Simon Pegg,resources/actors/qm-actors-100.jpg
