Category,Subcategory,Difficulty,Question,Answer,Image
MOVIES,ACTRESSES,EASY,Who is this Hollywood actress?,Keira Knightley,resources/actresses/qm-actresses-001.jpg
MOVIES,ACTRESSES,EASY,Who is this Hollywood actress?,Kristen Stewart,resources/actresses/qm-actresses-002.jpg
MOVIES,ACTRESSES,EASY,Who is this Hollywood actress?,Angelina Jolie,resources/actresses/qm-actresses-003.jpg
MOVIES,ACTRESSES,EASY,Who is this Hollywood actress?,Kate Winslet,resources/actresses/qm-actresses-004.jpg
MOVIES,ACTRESSES,EASY,Who is this Hollywood actress?,Meryl Streep,resources/actresses/qm-actresses-005.jpg
MOVIES,ACTRESSES,EASY,Who is this Hollywood actress?,Drew Barrymore,resources/actresses/qm-actresses-006.jpg
MOVIES,ACTRESSES,EASY,Who is this Hollywood actress?,Cameron Diaz,resources/actresses/qm-actresses-007.jpg
MOVIES,ACTRESSES,EASY,Who is this Hollywood actress?,Judi Dench,resources/actresses/qm-actresses-008.jpg
MOVIES,ACTRESSES,EASY,Who is this Hollywood actress?,Nicole Kidman,resources/actresses/qm-actresses-009.jpg
MOVIES,ACTRESSES,EASY,Who is this Hollywood actress?,Gwyneth Paltrow,resources/actresses/qm-actresses-010.jpg
MOVIES,ACTRESSES,EASY,Who is this Hollywood actress?,Renee Zellweger,resources/actresses/qm-actresses-011.jpg
MOVIES,ACTRESSES,EASY,Who is this Hollywood actress?,Emma Watson,resources/actresses/qm-actresses-012.jpg
MOVIES,ACTRESSES,EASY,Who is this Hollywood actress?,Anne Hathaway,resources/actresses/qm-actresses-013.jpg
MOVIES,ACTRESSES,EASY,Who is this Hollywood actress?,Helen Mirren,resources/actresses/qm-actresses-014.jpg
MOVIES,ACTRESSES,EASY,Who is this Hollywood actress?,Cate Blanchett,resources/actresses/qm-actresses-015.jpg
MOVIES,ACTRESSES,EASY,Who is this Hollywood actress?,Julia Roberts,resources/actresses/qm-actresses-016.jpg
MOVIES,ACTRESSES,EASY,Who is this Hollywood actress?,Christina Ricci,resources/actresses/qm-actresses-017.jpg
MOVIES,ACTRESSES,EASY,Who is this Hollywood actress?,Eva Mendes,resources/actresses/qm-actresses-018.jpg
MOVIES,ACTRESSES,EASY,Who is this Hollywood actress?,Naomi Watts,resources/actresses/qm-actresses-019.jpg
MOVIES,ACTRESSES,MEDIUM,Who is this Hollywood actress?,Mila Kunis,resources/actresses/qm-actresses-020.jpg
MOVIES,ACTRESSES,MEDIUM,Who is this Hollywood actress?,Selma Hayek,resources/actresses/qm-actresses-021.jpg
MOVIES,ACTRESSES,MEDIUM,Who is this Hollywood actress?,Jodie Foster,resources/actresses/qm-actresses-022.jpg
MOVIES,ACTRESSES,MEDIUM,Who is this Hollywood actress?,Jessica Alba,resources/actresses/qm-actresses-023.jpg
MOVIES,ACTRESSES,MEDIUM,Who is this Hollywood actress?,Sharon Stone,resources/actresses/qm-actresses-024.jpg
MOVIES,ACTRESSES,MEDIUM,Who is this Hollywood actress?,Kate Beckinsale,resources/actresses/qm-actresses-025.jpg
MOVIES,ACTRESSES,MEDIUM,Who is this Hollywood actress?,Julianne Moore,resources/actresses/qm-actresses-026.jpg
MOVIES,ACTRESSES,MEDIUM,Who is this Hollywood actress?,Hilary Swank,resources/actresses/qm-actresses-027.jpg
MOVIES,ACTRESSES,MEDIUM,Who is this Hollywood actress?,Claire Danes,resources/actresses/qm-actresses-028.jpg
MOVIES,ACTRESSES,MEDIUM,Who is this Hollywood actress?,Natalie Portman,resources/actresses/qm-actresses-029.jpg
MOVIES,ACTRESSES,MEDIUM,Who is this Hollywood actress?,Sally Field,resources/actresses/qm-actresses-030.jpg
MOVIES,ACTRESSES,MEDIUM,Who is this Hollywood actress?,Jessica Biel,resources/actresses/qm-actresses-031.jpg
MOVIES,ACTRESSES,MEDIUM,Who is this Hollywood actress?,Katie Holmes,resources/actresses/qm-actresses-032.jpg
MOVIES,ACTRESSES,MEDIUM,Who is this Hollywood actress?,Penelope Cruz,resources/actresses/qm-actresses-033.jpg
MOVIES,ACTRESSES,MEDIUM,Who is this Hollywood actress?,Susan Sarandon,resources/actresses/qm-actresses-034.jpg
MOVIES,ACTRESSES,MEDIUM,Who is this Hollywood actress?,Thandie Newton,resources/actresses/qm-actresses-035.jpg
MOVIES,ACTRESSES,MEDIUM,Who is this Hollywood actress?,Carey Mulligan,resources/actresses/qm-actresses-036.jpg
MOVIES,ACTRESSES,MEDIUM,Who is this Hollywood actress?,Kate Hudson,resources/actresses/qm-actresses-037.jpg
MOVIES,ACTRESSES,MEDIUM,Who is this Hollywood actress?,Gemma Arterton,resources/actresses/qm-actresses-038.jpg
MOVIES,ACTRESSES,MEDIUM,Who is this Hollywood actress?,Isla Fisher,resources/actresses/qm-actresses-039.jpg
MOVIES,ACTRESSES,MEDIUM,Who is this Hollywood actress?,Amanda Seyfried,resources/actresses/qm-actresses-040.jpg
MOVIES,ACTRESSES,MEDIUM,Who is this Hollywood actress?,Charlize Theron,resources/actresses/qm-actresses-041.jpg
MOVIES,ACTRESSES,MEDIUM,Who is this Hollywood actress?,Mischa Barton,resources/actresses/qm-actresses-042.jpg
MOVIES,ACTRESSES,MEDIUM,Who is this Hollywood actress?,Uma Thurman,resources/actresses/qm-actresses-043.jpg
MOVIES,ACTRESSES,MEDIUM,Who is this Hollywood actress?,Anna Kendrick,resources/actresses/qm-actresses-044.jpg
MOVIES,ACTRESSES,MEDIUM,Who is this Hollywood actress?,Emily Blunt,resources/actresses/qm-actresses-045.jpg
MOVIES,ACTRESSES,MEDIUM,Who is this Hollywood actress?,Kirsten Dunst,resources/actresses/qm-actresses-046.jpg
MOVIES,ACTRESSES,MEDIUM,Who is this Hollywood actress?,Sienna Miller,resources/actresses/qm-actresses-047.jpg
MOVIES,ACTRESSES,MEDIUM,Who is this Hollywood actress?,Blake Lively,resources/actresses/qm-actresses-048.jpg
MOVIES,ACTRESSES,MEDIUM,Who is this Hollywood actress?,Elizabeth Banks,resources/actresses/qm-actresses-049.jpg
MOVIES,ACTRESSES,MEDIUM,Who is this Hollywood actress?,Kristen Bell,resources/actresses/qm-actresses-050.jpg
MOVIES,ACTRESSES,MEDIUM,Who is this Hollywood actress?,Jennifer Garner,resources/actresses/qm-actresses-051.jpg
MOVIES,ACTRESSES,MEDIUM,Who is this Hollywood actress?,Pamela Anderson,resources/actresses/qm-actresses-052.jpg
