Category,Subcategory,Difficulty,Question,Answer,Image
MUSIC,ALBUMCOVERS,EASY,Name the album,Rainbow,resources/albumcovers/qm-albumcovers-1.jpg
MUSIC,ALBUMCOVERS,EASY,Name the album,Tubular Bells,resources/albumcovers/qm-albumcovers-2.jpg
MUSIC,ALBUMCOVERS,EASY,Name the album,J Lo,resources/albumcovers/qm-albumcovers-3.jpg
MUSIC,ALBUMCOVERS,EASY,Name the album,Born in the USA,resources/albumcovers/qm-albumcovers-4.jpg
MUSIC,ALBUMCOVERS,EASY,Name the album,Nevermind,resources/albumcovers/qm-albumcovers-5.jpg
MUSIC,ALBUMCOVERS,EASY,Name the album,Faith,resources/albumcovers/qm-albumcovers-6.jpg
MUSIC,ALBUMCOVERS,EASY,Name the album,Titanic,resources/albumcovers/qm-albumcovers-7.jpg
MUSIC,ALBUMCOVERS,EASY,Name the album,Bad,resources/albumcovers/qm-albumcovers-8.jpg
MUSIC,ALBUMCOVERS,EASY,Name the album,Legend,resources/albumcovers/qm-albumcovers-9.jpg
MUSIC,ALBUMCOVERS,EASY,Name the album,Play,resources/albumcovers/qm-albumcovers-10.jpg
MUSIC,ALBUMCOVERS,EASY,Name the album,The Joshua Tree,resources/albumcovers/qm-albumcovers-11.jpg
MUSIC,ALBUMCOVERS,EASY,Name the album,Whitney,resources/albumcovers/qm-albumcovers-12.jpg
MUSIC,ALBUMCOVERS,EASY,Name the album,Imagine,resources/albumcovers/qm-albumcovers-13.jpg
MUSIC,ALBUMCOVERS,EASY,Name the album,Dangerous,resources/albumcovers/qm-albumcovers-14.jpg
MUSIC,ALBUMCOVERS,EASY,Name the album,American Idiot,resources/albumcovers/qm-albumcovers-15.jpg
MUSIC,ALBUMCOVERS,EASY,Name the album,Ray of Light,resources/albumcovers/qm-albumcovers-16.jpg
MUSIC,ALBUMCOVERS,EASY,Name the album,The Wall,resources/albumcovers/qm-albumcovers-17.jpg
MUSIC,ALBUMCOVERS,EASY,Name the album,Born To Die,resources/albumcovers/qm-albumcovers-18.jpg
MUSIC,ALBUMCOVERS,EASY,Name the album,Christmas,resources/albumcovers/qm-albumcovers-19.jpg
MUSIC,ALBUMCOVERS,MEDIUM,Name the album,Thriller,resources/albumcovers/qm-albumcovers-20.jpg
MUSIC,ALBUMCOVERS,MEDIUM,Name the album,Music,resources/albumcovers/qm-albumcovers-21.jpg
MUSIC,ALBUMCOVERS,MEDIUM,Name the album,London Calling,resources/albumcovers/qm-albumcovers-22.jpg
MUSIC,ALBUMCOVERS,MEDIUM,Name the album,Daydream,resources/albumcovers/qm-albumcovers-23.jpg
MUSIC,ALBUMCOVERS,MEDIUM,Name the album,Crazysexycool,resources/albumcovers/qm-albumcovers-24.jpg
MUSIC,ALBUMCOVERS,MEDIUM,Name the album,Back To Black,resources/albumcovers/qm-albumcovers-25.jpg
MUSIC,ALBUMCOVERS,MEDIUM,Name the album,Let It Be,resources/albumcovers/qm-albumcovers-26.jpg
MUSIC,ALBUMCOVERS,MEDIUM,Name the album,Abbey Road,resources/albumcovers/qm-albumcovers-27.jpg
MUSIC,ALBUMCOVERS,MEDIUM,Name the album,Monster,resources/albumcovers/qm-albumcovers-28.jpg
MUSIC,ALBUMCOVERS,MEDIUM,Name the album,OK Computer,resources/albumcovers/qm-albumcovers-29.jpg
MUSIC,ALBUMCOVERS,MEDIUM,Name the album,Parklife,resources/albumcovers/qm-albumcovers-30.jpg
MUSIC,ALBUMCOVERS,MEDIUM,Name the album,The Resistance,resources/albumcovers/qm-albumcovers-31.jpg
MUSIC,ALBUMCOVERS,MEDIUM,Name the album,The Doors,resources/albumcovers/qm-albumcovers-32.jpg
MUSIC,ALBUMCOVERS,MEDIUM,Name the album,Ramones,resources/albumcovers/qm-albumcovers-33.jpg
MUSIC,ALBUMCOVERS,MEDIUM,Name the album,Like A Virgin,resources/albumcovers/qm-albumcovers-34.jpg
MUSIC,ALBUMCOVERS,MEDIUM,Name the album,Hybrid Theory,resources/albumcovers/qm-albumcovers-35.jpg
MUSIC,ALBUMCOVERS,MEDIUM,Name the album,The Black Album,resources/albumcovers/qm-albumcovers-36.jpg
MUSIC,ALBUMCOVERS,MEDIUM,Name the album,Born This Way,resources/albumcovers/qm-albumcovers-37.jpg
MUSIC,ALBUMCOVERS,MEDIUM,Name the album,Elvis Presley,resources/albumcovers/qm-albumcovers-38.jpg
MUSIC,ALBUMCOVERS,MEDIUM,Name the album,Dummy,resources/albumcovers/qm-albumcovers-39.jpg
MUSIC,ALBUMCOVERS,MEDIUM,Name the album,One Step Beyond,resources/albumcovers/qm-albumcovers-40.jpg
MUSIC,ALBUMCOVERS,MEDIUM,Name the album,Rumours,resources/albumcovers/qm-albumcovers-41.jpg
MUSIC,ALBUMCOVERS,MEDIUM,Name the album,Teenage Dream,resources/albumcovers/qm-albumcovers-42.jpg
MUSIC,ALBUMCOVERS,MEDIUM,Name the album,Vienna,resources/albumcovers/qm-albumcovers-43.jpg
MUSIC,ALBUMCOVERS,MEDIUM,Name the album,Kid A,resources/albumcovers/qm-albumcovers-44.jpg
MUSIC,ALBUMCOVERS,MEDIUM,Name the album,Supernatural,resources/albumcovers/qm-albumcovers-45.jpg
MUSIC,ALBUMCOVERS,MEDIUM,Name the album,Siamese Dream,resources/albumcovers/qm-albumcovers-46.jpg
MUSIC,ALBUMCOVERS,MEDIUM,Name the album,Red,resources/albumcovers/qm-albumcovers-47.jpg
MUSIC,ALBUMCOVERS,MEDIUM,Name the album,True Blue,resources/albumcovers/qm-albumcovers-48.jpg
MUSIC,ALBUMCOVERS,MEDIUM,Name the album,Libertines,resources/albumcovers/qm-albumcovers-49.jpg
MUSIC,ALBUMCOVERS,MEDIUM,Name the album,Confessions,resources/albumcovers/qm-albumcovers-50.jpg
MUSIC,ALBUMCOVERS,MEDIUM,Name the album,Ready To Die,resources/albumcovers/qm-albumcovers-51.jpg
MUSIC,ALBUMCOVERS,MEDIUM,Name the album,This is Hardcore,resources/albumcovers/qm-albumcovers-52.jpg
MUSIC,ALBUMCOVERS,MEDIUM,Name the album,Xtrmntr,resources/albumcovers/qm-albumcovers-53.jpg
MUSIC,ALBUMCOVERS,MEDIUM,Name the album,Hysteria,resources/albumcovers/qm-albumcovers-54.jpg
MUSIC,ALBUMCOVERS,MEDIUM,Name the album,Ten,resources/albumcovers/qm-albumcovers-55.jpg
MUSIC,ALBUMCOVERS,MEDIUM,Name the album,Not Too Late,resources/albumcovers/qm-albumcovers-56.jpg
MUSIC,ALBUMCOVERS,MEDIUM,Name the album,Stronger,resources/albumcovers/qm-albumcovers-57.jpg
MUSIC,ALBUMCOVERS,MEDIUM,Name the album,Boston,resources/albumcovers/qm-albumcovers-58.jpg
MUSIC,ALBUMCOVERS,MEDIUM,Name the album,Achtung Baby,resources/albumcovers/qm-albumcovers-59.jpg
MUSIC,ALBUMCOVERS,HARD,Name the album,Back In Black,resources/albumcovers/qm-albumcovers-60.jpg
MUSIC,ALBUMCOVERS,HARD,Name the album,Hot Fuss,resources/albumcovers/qm-albumcovers-61.jpg
MUSIC,ALBUMCOVERS,HARD,Name the album,Brothers in Arms,resources/albumcovers/qm-albumcovers-62.jpg
MUSIC,ALBUMCOVERS,HARD,Name the album,Introspective,resources/albumcovers/qm-albumcovers-63.jpg
MUSIC,ALBUMCOVERS,HARD,Name the album,Is This It,resources/albumcovers/qm-albumcovers-64.jpg
MUSIC,ALBUMCOVERS,HARD,Name the album,Pet Sounds,resources/albumcovers/qm-albumcovers-65.jpg
MUSIC,ALBUMCOVERS,HARD,Name the album,Contra,resources/albumcovers/qm-albumcovers-66.jpg
MUSIC,ALBUMCOVERS,HARD,Name the album,The Coral,resources/albumcovers/qm-albumcovers-67.jpg
MUSIC,ALBUMCOVERS,HARD,Name the album,The Blueprint 3,resources/albumcovers/qm-albumcovers-68.jpg
