Category,Subcategory,Difficulty,Question,Answer,Image
Geography,Capitals,EASY,Name this capital city,Paris,resources/capitals/qm-capital-1.jpg
Geography,Capitals,EASY,Name this capital city,Rome,resources/capitals/qm-capital-2.jpg
Geography,Capitals,EASY,Name this capital city,Washington DC,resources/capitals/qm-capital-3.jpg
Geography,Capitals,EASY,Name this capital city,Dublin,resources/capitals/qm-capital-4.jpg
Geography,Capitals,EASY,Name this capital city,Madrid,resources/capitals/qm-capital-5.jpg
Geography,Capitals,EASY,Name this capital city,Stockholm,resources/capitals/qm-capital-6.jpg
Geography,Capitals,EASY,Name this capital city,Amsterdam,resources/capitals/qm-capital-7.jpg
Geography,Capitals,EASY,Name this capital city,Belfast,resources/capitals/qm-capital-8.jpg
Geography,Capitals,EASY,Name this capital city,Berlin,resources/capitals/qm-capital-9.jpg
Geography,Capitals,EASY,Name this capital city,Canberra,resources/capitals/qm-capital-10.jpg
Geography,Capitals,EASY,Name this capital city,Mexico City,resources/capitals/qm-capital-11.jpg
Geography,Capitals,EASY,Name this capital city,New Delhi,resources/capitals/qm-capital-12.jpg
Geography,Capitals,EASY,Name this capital city,Ottawa,resources/capitals/qm-capital-13.jpg
Geography,Capitals,EASY,Name this capital city,Tokyo,resources/capitals/qm-capital-14.jpg
Geography,Capitals,EASY,Name this capital city,Lisbon,resources/capitals/qm-capital-15.jpg
Geography,Capitals,EASY,Name this capital city,Pretoria,resources/capitals/qm-capital-16.jpg
Geography,Capitals,EASY,Name this capital city,Vienna,resources/capitals/qm-capital-17.jpg
Geography,Capitals,EASY,Name this capital city,Wellington,resources/capitals/qm-capital-18.jpg
Geography,Capitals,EASY,Name this capital city,Athens,resources/capitals/qm-capital-19.jpg
Geography,Capitals,MEDIUM,Name this capital city,Copenhagen,resources/capitals/qm-capital-20.jpg
Geography,Capitals,MEDIUM,Name this capital city,Moscow,resources/capitals/qm-capital-21.jpg
Geography,Capitals,MEDIUM,Name this capital city,Oslo,resources/capitals/qm-capital-22.jpg
Geography,Capitals,MEDIUM,Name this capital city,Prague,resources/capitals/qm-capital-23.jpg
Geography,Capitals,MEDIUM,Name this capital city,Beijing,resources/capitals/qm-capital-24.jpg
Geography,Capitals,MEDIUM,Name this capital city,Cairo,resources/capitals/qm-capital-25.jpg
Geography,Capitals,MEDIUM,Name this capital city,Rekjavik,resources/capitals/qm-capital-26.jpg
