Category,Subcategory,Difficulty,Question,Answer,Image
Geography,Countries,EASY,Name this country,France,resources/countries/qm-countries-1.jpg
Geography,Countries,EASY,Name this country,Spain,resources/countries/qm-countries-2.jpg
Geography,Countries,EASY,Name this country,USAAmerica,resources/countries/qm-countries-3.jpg
Geography,Countries,EASY,Name this country,Australia,resources/countries/qm-countries-4.jpg
Geography,Countries,EASY,Name this country,Italy,resources/countries/qm-countries-5.jpg
Geography,Countries,EASY,Name this country,Portugal,resources/countries/qm-countries-6.jpg
Geography,Countries,EASY,Name this country,Germany,resources/countries/qm-countries-7.jpg
Geography,Countries,EASY,Name this country,China,resources/countries/qm-countries-8.jpg
Geography,Countries,EASY,Name this country,India,resources/countries/qm-countries-9.jpg
Geography,Countries,EASY,Name this country,Netherlands,resources/countries/qm-countries-10.jpg
Geography,Countries,EASY,Name this country,Brazil,resources/countries/qm-countries-11.jpg
Geography,Countries,EASY,Name this country,Japan,resources/countries/qm-countries-12.jpg
Geography,Countries,EASY,Name this country,Sweden,resources/countries/qm-countries-13.jpg
Geography,Countries,EASY,Name this country,Norway,resources/countries/qm-countries-14.jpg
Geography,Countries,EASY,Name this country,Denmark,resources/countries/qm-countries-15.jpg
Geography,Countries,EASY,Name this country,Mexico,resources/countries/qm-countries-16.jpg
Geography,Countries,EASY,Name this country,New Zealand,resources/countries/qm-countries-17.jpg
Geography,Countries,EASY,Name this country,Poland,resources/countries/qm-countries-18.jpg
Geography,Countries,EASY,Name this country,Austria,resources/countries/qm-countries-19.jpg
Geography,Countries,MEDIUM,Name this country,South Africa,resources/countries/qm-countries-20.jpg
Geography,Countries,MEDIUM,Name this country,Finland,resources/countries/qm-countries-21.jpg
Geography,Countries,MEDIUM,Name this country,Greece,resources/countries/qm-countries-22.jpg
Geography,Countries,MEDIUM,Name this country,Argentina,resources/countries/qm-countries-23.jpg
Geography,Countries,MEDIUM,Name this country,Uruguay,resources/countries/qm-countries-24.jpg
Geography,Countries,MEDIUM,Name this country,Switzerland,resources/countries/qm-countries-25.jpg
Geography,Countries,MEDIUM,Name this country,Turkey,resources/countries/qm-countries-26.jpg
Geography,Countries,MEDIUM,Name this country,Belgium,resources/countries/qm-countries-27.jpg
Geography,Countries,MEDIUM,Name this country,Iceland,resources/countries/qm-countries-28.jpg
Geography,Countries,MEDIUM,Name this country,Cyprus,resources/countries/qm-countries-29.jpg
Geography,Countries,MEDIUM,Name this country,Romania,resources/countries/qm-countries-30.jpg
Geography,Countries,MEDIUM,Name this country,Egypt,resources/countries/qm-countries-31.jpg
Geography,Countries,MEDIUM,Name this country,Peru,resources/countries/qm-countries-32.jpg
