Category,Subcategory,Difficulty,Question,Answer,Image
Geography,FLAGS,EASY,Which country is this the flag of?,USAAmerica,resources/flags/qm-flags-1.jpg
Geography,FLAGS,EASY,Which country is this the flag of?,Germany,resources/flags/qm-flags-2.jpg
Geography,FLAGS,EASY,Which country is this the flag of?,Canada,resources/flags/qm-flags-3.jpg
Geography,FLAGS,EASY,Which country is this the flag of?,Japan,resources/flags/qm-flags-4.jpg
Geography,FLAGS,EASY,Which country is this the flag of?,UKUnitedKingdom,resources/flags/qm-flags-5.jpg
Geography,FLAGS,EASY,Which country is this the flag of?,France,resources/flags/qm-flags-6.jpg
Geography,FLAGS,EASY,Which country is this the flag of?,Italy,resources/flags/qm-flags-7.jpg
Geography,FLAGS,EASY,Which country is this the flag of?,Israel,resources/flags/qm-flags-8.jpg
Geography,FLAGS,EASY,Which country is this the flag of?,Brazil,resources/flags/qm-flags-9.jpg
Geography,FLAGS,EASY,Which country is this the flag of?,South Korea,resources/flags/qm-flags-10.jpg
Geography,FLAGS,EASY,Which country is this the flag of?,Jamaica,resources/flags/qm-flags-11.jpg
Geography,FLAGS,EASY,Which country is this the flag of?,Ireland,resources/flags/qm-flags-12.jpg
Geography,FLAGS,EASY,Which country is this the flag of?,China,resources/flags/qm-flags-13.jpg
Geography,FLAGS,EASY,Which country is this the flag of?,Sweden,resources/flags/qm-flags-14.jpg
Geography,FLAGS,EASY,Which country is this the flag of?,Switzerland,resources/flags/qm-flags-15.jpg
Geography,FLAGS,EASY,Which country is this the flag of?,Australia,resources/flags/qm-flags-16.jpg
Geography,FLAGS,EASY,Which country is this the flag of?,Spain,resources/flags/qm-flags-17.jpg
Geography,FLAGS,EASY,Which country is this the flag of?,Norway,resources/flags/qm-flags-18.jpg
Geography,FLAGS,EASY,Which country is this the flag of?,South Africa,resources/flags/qm-flags-19.jpg
Geography,FLAGS,MEDIUM,Which country is this the flag of?,Greece,resources/flags/qm-flags-20.jpg
Geography,FLAGS,MEDIUM,Which country is this the flag of?,New Zealand,resources/flags/qm-flags-21.jpg
Geography,FLAGS,MEDIUM,Which country is this the flag of?,Turkey,resources/flags/qm-flags-22.jpg
Geography,FLAGS,MEDIUM,Which country is this the flag of?,Denmark,resources/flags/qm-flags-23.jpg
Geography,FLAGS,MEDIUM,Which country is this the flag of?,Portugal,resources/flags/qm-flags-24.jpg
Geography,FLAGS,MEDIUM,Which country is this the flag of?,Argentina,resources/flags/qm-flags-25.jpg
