Category,Subcategory,Difficulty,Question,Answer,Image
Geography,Landmarks,EASY,Name this landmark,Taj Mahal,resources/landmarks/qm-landmarks-1.jpg
Geography,Landmarks,EASY,Name this landmark,Tower Of Pisa,resources/landmarks/qm-landmarks-2.jpg
Geography,Landmarks,EASY,Name this landmark,Ayers Rock,resources/landmarks/qm-landmarks-3.jpg
Geography,Landmarks,EASY,Name this landmark,Eiffel Tower,resources/landmarks/qm-landmarks-4.jpg
Geography,Landmarks,EASY,Name this landmark,Pyramids of Giza,resources/landmarks/qm-landmarks-5.jpg
Geography,Landmarks,EASY,Name this landmark,Sydney Opera House,resources/landmarks/qm-landmarks-6.jpg
Geography,Landmarks,EASY,Name this landmark,Times Square,resources/landmarks/qm-landmarks-7.jpg
Geography,Landmarks,EASY,Name this landmark,Big Ben,resources/landmarks/qm-landmarks-8.jpg
Geography,Landmarks,EASY,Name this landmark,Hollywood Sign,resources/landmarks/qm-landmarks-9.jpg
Geography,Landmarks,EASY,Name this landmark,Colloseum,resources/landmarks/qm-landmarks-10.jpg
Geography,Landmarks,EASY,Name this landmark,Empire State Building,resources/landmarks/qm-landmarks-11.jpg
Geography,Landmarks,EASY,Name this landmark,White House,resources/landmarks/qm-landmarks-12.jpg
Geography,Landmarks,EASY,Name this landmark,Great Wall Of China,resources/landmarks/qm-landmarks-13.jpg
Geography,Landmarks,EASY,Name this landmark,The Sphinx,resources/landmarks/qm-landmarks-14.jpg
Geography,Landmarks,EASY,Name this landmark,Burj Al Arab,resources/landmarks/qm-landmarks-15.jpg
Geography,Landmarks,EASY,Name this landmark,London Eye,resources/landmarks/qm-landmarks-16.jpg
Geography,Landmarks,EASY,Name this landmark,Table Mountain,resources/landmarks/qm-landmarks-17.jpg
Geography,Landmarks,EASY,Name this landmark,Grand Canyon,resources/landmarks/qm-landmarks-18.jpg
Geography,Landmarks,EASY,Name this landmark,Acropolis,resources/landmarks/qm-landmarks-19.jpg
Geography,Landmarks,MEDIUM,Name this landmark,Machu Picchu,resources/landmarks/qm-landmarks-20.jpg
Geography,Landmarks,MEDIUM,Name this landmark,Liberty Island,resources/landmarks/qm-landmarks-21.jpg
Geography,Landmarks,MEDIUM,Name this landmark,Moulin Rouge,resources/landmarks/qm-landmarks-22.jpg
Geography,Landmarks,MEDIUM,Name this landmark,Arc de Triomphe,resources/landmarks/qm-landmarks-23.jpg
Geography,Landmarks,MEDIUM,Name this landmark,Hoover Dam,resources/landmarks/qm-landmarks-24.jpg
Geography,Landmarks,MEDIUM,Name this landmark,Tower Bridge,resources/landmarks/qm-landmarks-25.jpg
Geography,Landmarks,MEDIUM,Name this landmark,Gherkin,resources/landmarks/qm-landmarks-26.jpg
Geography,Landmarks,MEDIUM,Name this landmark,The Pentagon,resources/landmarks/qm-landmarks-27.jpg
Geography,Landmarks,MEDIUM,Name this landmark,Niagara Falls,resources/landmarks/qm-landmarks-28.jpg
Geography,Landmarks,MEDIUM,Name this landmark,CN Tower,resources/landmarks/qm-landmarks-29.jpg
Geography,Landmarks,MEDIUM,Name this landmark,Mount Everest,resources/landmarks/qm-landmarks-30.jpg
Geography,Landmarks,MEDIUM,Name this landmark,St Basils,resources/landmarks/qm-landmarks-31.jpg
Geography,Landmarks,MEDIUM,Name this landmark,Central Park,resources/landmarks/qm-landmarks-32.jpg
Geography,Landmarks,MEDIUM,Name this landmark,Iguazu Falls,resources/landmarks/qm-landmarks-33.jpg
Geography,Landmarks,MEDIUM,Name this landmark,The Louvre,resources/landmarks/qm-landmarks-34.jpg
Geography,Landmarks,MEDIUM,Name this landmark,Monument Valley,resources/landmarks/qm-landmarks-35.jpg
Geography,Landmarks,MEDIUM,Name this landmark,Mount Rushmore,resources/landmarks/qm-landmarks-36.jpg
Geography,Landmarks,MEDIUM,Name this landmark,Stonehenge,resources/landmarks/qm-landmarks-37.jpg
Geography,Landmarks,MEDIUM,Name this landmark,St Pauls,resources/landmarks/qm-landmarks-38.jpg
Geography,Landmarks,MEDIUM,Name this landmark,Sacre Coeur,resources/landmarks/qm-landmarks-39.jpg
Geography,Landmarks,MEDIUM,Name this landmark,Brooklyn Bridge,resources/landmarks/qm-landmarks-40.jpg
Geography,Landmarks,MEDIUM,Name this landmark,Harbour Bridge,resources/landmarks/qm-landmarks-41.jpg
Geography,Landmarks,MEDIUM,Name this landmark,Mount Fuji,resources/landmarks/qm-landmarks-42.jpg
Geography,Landmarks,MEDIUM,Name this landmark,Mecca,resources/landmarks/qm-landmarks-43.jpg
Geography,Landmarks,MEDIUM,Name this landmark,Capitol Hill,resources/landmarks/qm-landmarks-44.jpg
Geography,Landmarks,MEDIUM,Name this landmark,Manneken Pis,resources/landmarks/qm-landmarks-45.jpg
Geography,Landmarks,MEDIUM,Name this landmark,Alhambra,resources/landmarks/qm-landmarks-46.jpg
Geography,Landmarks,MEDIUM,Name this landmark,Canary Wharf,resources/landmarks/qm-landmarks-47.jpg
Geography,Landmarks,MEDIUM,Name this landmark,Gibraltar,resources/landmarks/qm-landmarks-48.jpg
Geography,Landmarks,MEDIUM,Name this landmark,St Peters Square,resources/landmarks/qm-landmarks-49.jpg
Geography,Landmarks,MEDIUM,Name this landmark,Golden Gate Bridge,resources/landmarks/qm-landmarks-50.jpg
Geography,Landmarks,MEDIUM,Name this landmark,Bryce Canyon,resources/landmarks/qm-landmarks-51.jpg
Geography,Landmarks,MEDIUM,Name this landmark,Christ The Redeemer,resources/landmarks/qm-landmarks-52.jpg
