Category,Subcategory,Difficulty,Question,Answer,Image
MISC,LOGOS,EASY,Name this brand logo,Red Bull,resources/logos/qm-logos-001.jpg
MISC,LOGOS,EASY,Name this brand logo,Macdonalds,resources/logos/qm-logos-002.jpg
MISC,LOGOS,EASY,Name this brand logo,Shell,resources/logos/qm-logos-003.jpg
MISC,LOGOS,EASY,Name this brand logo,Pepsi,resources/logos/qm-logos-004.jpg
MISC,LOGOS,EASY,Name this brand logo,Nike,resources/logos/qm-logos-005.jpg
MISC,LOGOS,EASY,Name this brand logo,Kellogs,resources/logos/qm-logos-006.jpg
MISC,LOGOS,EASY,Name this brand logo,Amazon,resources/logos/qm-logos-007.jpg
MISC,LOGOS,EASY,Name this brand logo,Apple,resources/logos/qm-logos-008.jpg
MISC,LOGOS,EASY,Name this brand logo,Starbucks,resources/logos/qm-logos-009.jpg
MISC,LOGOS,EASY,Name this brand logo,Adidas,resources/logos/qm-logos-010.jpg
MISC,LOGOS,EASY,Name this brand logo,Dominos,resources/logos/qm-logos-011.jpg
MISC,LOGOS,EASY,Name this brand logo,Microsoft,resources/logos/qm-logos-012.jpg
MISC,LOGOS,EASY,Name this brand logo,Google,resources/logos/qm-logos-013.jpg
MISC,LOGOS,EASY,Name this brand logo,Facebook,resources/logos/qm-logos-014.jpg
MISC,LOGOS,EASY,Name this brand logo,KFC,resources/logos/qm-logos-015.jpg
MISC,LOGOS,EASY,Name this brand logo,Volkswagon,resources/logos/qm-logos-016.jpg
MISC,LOGOS,EASY,Name this brand logo,T Mobile,resources/logos/qm-logos-017.jpg
MISC,LOGOS,EASY,Name this brand logo,Subway,resources/logos/qm-logos-018.jpg
MISC,LOGOS,EASY,Name this brand logo,IKEA,resources/logos/qm-logos-019.jpg
MISC,LOGOS,MEDIUM,Name this brand logo,Yahoo,resources/logos/qm-logos-020.jpg
MISC,LOGOS,MEDIUM,Name this brand logo,Orbit,resources/logos/qm-logos-021.jpg
MISC,LOGOS,MEDIUM,Name this brand logo,Wikipedia,resources/logos/qm-logos-022.jpg
MISC,LOGOS,MEDIUM,Name this brand logo,Warner Bros,resources/logos/qm-logos-023.jpg
MISC,LOGOS,MEDIUM,Name this brand logo,GAP,resources/logos/qm-logos-024.jpg
MISC,LOGOS,MEDIUM,Name this brand logo,Intel,resources/logos/qm-logos-025.jpg
MISC,LOGOS,MEDIUM,Name this brand logo,Pizza Hut,resources/logos/qm-logos-026.jpg
MISC,LOGOS,MEDIUM,Name this brand logo,Pingles,resources/logos/qm-logos-027.jpg
MISC,LOGOS,MEDIUM,Name this brand logo,Nivea,resources/logos/qm-logos-028.jpg
MISC,LOGOS,MEDIUM,Name this brand logo,Playboy,resources/logos/qm-logos-029.jpg
MISC,LOGOS,MEDIUM,Name this brand logo,Angry Birds,resources/logos/qm-logos-030.jpg
MISC,LOGOS,MEDIUM,Name this brand logo,Twitter,resources/logos/qm-logos-031.jpg
MISC,LOGOS,MEDIUM,Name this brand logo,Sega,resources/logos/qm-logos-032.jpg
MISC,LOGOS,MEDIUM,Name this brand logo,Caterpillar,resources/logos/qm-logos-033.jpg
MISC,LOGOS,MEDIUM,Name this brand logo,Audi,resources/logos/qm-logos-034.jpg
MISC,LOGOS,MEDIUM,Name this brand logo,X Factor,resources/logos/qm-logos-035.jpg
MISC,LOGOS,MEDIUM,Name this brand logo,Jaguar,resources/logos/qm-logos-036.jpg
MISC,LOGOS,MEDIUM,Name this brand logo,BP,resources/logos/qm-logos-037.jpg
MISC,LOGOS,MEDIUM,Name this brand logo,Friends,resources/logos/qm-logos-038.jpg
MISC,LOGOS,MEDIUM,Name this brand logo,Wii,resources/logos/qm-logos-039.jpg
MISC,LOGOS,MEDIUM,Name this brand logo,Evian,resources/logos/qm-logos-040.jpg
MISC,LOGOS,MEDIUM,Name this brand logo,MSN,resources/logos/qm-logos-041.jpg
MISC,LOGOS,MEDIUM,Name this brand logo,Michelin,resources/logos/qm-logos-042.jpg
MISC,LOGOS,MEDIUM,Name this brand logo,Harry Potter,resources/logos/qm-logos-043.jpg
MISC,LOGOS,MEDIUM,Name this brand logo,South Park,resources/logos/qm-logos-044.jpg
MISC,LOGOS,MEDIUM,Name this brand logo,IBM,resources/logos/qm-logos-045.jpg
MISC,LOGOS,MEDIUM,Name this brand logo,Vodafone,resources/logos/qm-logos-046.jpg
MISC,LOGOS,MEDIUM,Name this brand logo,Toyota,resources/logos/qm-logos-047.jpg
MISC,LOGOS,MEDIUM,Name this brand logo,Star Wars,resources/logos/qm-logos-048.jpg
MISC,LOGOS,MEDIUM,Name this brand logo,Lego,resources/logos/qm-logos-049.jpg
MISC,LOGOS,MEDIUM,Name this brand logo,Samsung,resources/logos/qm-logos-050.jpg
MISC,LOGOS,MEDIUM,Name this brand logo,Mercedes,resources/logos/qm-logos-051.jpg
MISC,LOGOS,MEDIUM,Name this brand logo,Harley Davidson,resources/logos/qm-logos-052.jpg
MISC,LOGOS,MEDIUM,Name this brand logo,Jack Daniels,resources/logos/qm-logos-053.jpg
MISC,LOGOS,MEDIUM,Name this brand logo,Lord of the Rings,resources/logos/qm-logos-054.jpg
MISC,LOGOS,MEDIUM,Name this brand logo,Netflix,resources/logos/qm-logos-055.jpg
MISC,LOGOS,MEDIUM,Name this brand logo,Lacoste,resources/logos/qm-logos-056.jpg
MISC,LOGOS,MEDIUM,Name this brand logo,HSBC,resources/logos/qm-logos-057.jpg
MISC,LOGOS,MEDIUM,Name this brand logo,Dove,resources/logos/qm-logos-058.jpg
MISC,LOGOS,MEDIUM,Name this brand logo,Quiksilver,resources/logos/qm-logos-059.jpg
MISC,LOGOS,HARD,Name this brand logo,Itunes,resources/logos/qm-logos-060.jpg
MISC,LOGOS,HARD,Name this brand logo,History Channel,resources/logos/qm-logos-061.jpg
MISC,LOGOS,HARD,Name this brand logo,Xbox 360,resources/logos/qm-logos-062.jpg
MISC,LOGOS,HARD,Name this brand logo,Android,resources/logos/qm-logos-063.jpg
MISC,LOGOS,HARD,Name this brand logo,Chanel,resources/logos/qm-logos-064.jpg
MISC,LOGOS,HARD,Name this brand logo,Zippo,resources/logos/qm-logos-065.jpg
MISC,LOGOS,HARD,Name this brand logo,Canon,resources/logos/qm-logos-066.jpg
MISC,LOGOS,HARD,Name this brand logo,Honda,resources/logos/qm-logos-067.jpg
MISC,LOGOS,HARD,Name this brand logo,Sopranos,resources/logos/qm-logos-068.jpg
MISC,LOGOS,HARD,Name this brand logo,Louis Vuitton,resources/logos/qm-logos-069.jpg
MISC,LOGOS,HARD,Name this brand logo,Guinness,resources/logos/qm-logos-070.jpg
MISC,LOGOS,HARD,Name this brand logo,Rolex,resources/logos/qm-logos-071.jpg
MISC,LOGOS,HARD,Name this brand logo,BABritish Airways,resources/logos/qm-logos-072.jpg
MISC,LOGOS,HARD,Name this brand logo,Qantas,resources/logos/qm-logos-073.jpg
MISC,LOGOS,HARD,Name this brand logo,Olay,resources/logos/qm-logos-074.jpg
MISC,LOGOS,HARD,Name this brand logo,Motorola,resources/logos/qm-logos-075.jpg
MISC,LOGOS,HARD,Name this brand logo,Breaking Bad,resources/logos/qm-logos-076.jpg
MISC,LOGOS,HARD,Name this brand logo,Ralph Lauren,resources/logos/qm-logos-077.jpg
MISC,LOGOS,HARD,Name this brand logo,Dexter,resources/logos/qm-logos-078.jpg
MISC,LOGOS,HARD,Name this brand logo,Ferrari,resources/logos/qm-logos-079.jpg
MISC,LOGOS,HARD,Name this brand logo,Zelda,resources/logos/qm-logos-080.jpg
MISC,LOGOS,HARD,Name this brand logo,Rolling Stones,resources/logos/qm-logos-081.jpg
MISC,LOGOS,HARD,Name this brand logo,Tomb Raider,resources/logos/qm-logos-082.jpg
MISC,LOGOS,HARD,Name this brand logo,Captain Morgan,resources/logos/qm-logos-083.jpg
MISC,LOGOS,HARD,Name this brand logo,Mitsubishi,resources/logos/qm-logos-084.jpg
MISC,LOGOS,HARD,Name this brand logo,Superdry,resources/logos/qm-logos-085.jpg
MISC,LOGOS,HARD,Name this brand logo,Nestle,resources/logos/qm-logos-086.jpg
MISC,LOGOS,HARD,Name this brand logo,Sons of Anarchy,resources/logos/qm-logos-087.jpg
MISC,LOGOS,HARD,Name this brand logo,Total,resources/logos/qm-logos-088.jpg
MISC,LOGOS,HARD,Name this brand logo,Discovery Channel,resources/logos/qm-logos-089.jpg
MISC,LOGOS,HARD,Name this brand logo,Chupa Chups,resources/logos/qm-logos-090.jpg
MISC,LOGOS,HARD,Name this brand logo,Dark Knight,resources/logos/qm-logos-091.jpg
MISC,LOGOS,HARD,Name this brand logo,Marvel,resources/logos/qm-logos-092.jpg
MISC,LOGOS,HARD,Name this brand logo,Fruit of the Loom,resources/logos/qm-logos-093.jpg
MISC,LOGOS,HARD,Name this brand logo,AC/DC,resources/logos/qm-logos-094.jpg
MISC,LOGOS,HARD,Name this brand logo,United Nations,resources/logos/qm-logos-095.jpg
MISC,LOGOS,HARD,Name this brand logo,Reddit,resources/logos/qm-logos-096.jpg
MISC,LOGOS,HARD,Name this brand logo,Nirvana,resources/logos/qm-logos-097.jpg
MISC,LOGOS,HARD,Name this brand logo,Mortal Kombat,resources/logos/qm-logos-098.jpg
MISC,LOGOS,HARD,Name this brand logo,Transformers,resources/logos/qm-logos-099.jpg
MISC,LOGOS,HARD,Name this brand logo,Metallica,resources/logos/qm-logos-100.jpg
