Category,Subcategory,Difficulty,Question,Answer,Image
Geography,General,Hard,"300,000 Chinese troops invaded a country in February of 1979, what was the country?",Vietnam,
Geography,General,Hard,Worlds most remote weather station is located in what country?,Canada,
Geography,General,Hard,What European country was in an official state of emergency from 1933 until 1945?,Germany,
Geography,General,Hard,Which country lost over seventeen percent of its entire population in World War II?,Poland,
Geography,General,Hard,Which two countries share Victoria Falls?,Zimbabwe Zambia,
Geography,General,Hard,Adolf Hitler was born in what country?,Austria,
Geography,General,Hard,"In 1989, what country did the United States invade in what George Will dubbed ""an act of hemispheric hygiene""?",Panama,
Geography,General,Hard,"What country did Ion Iliescu take over after its previous president was arrested, tried and shot?",Romania,
Geography,General,Hard,What North American country enacted the War Powers Act to quell a separatist rebellion in 1970?,Canada,
Geography,General,Hard,Aruba maintains the strongest ties to what European country?,Netherlands,
Geography,General,Hard,Fireworks originated in what country?,China,
Geography,General,Hard,The Saturn V rocket was built by what country?,USA,
Geography,General,Hard,"What European country uses its Latin Name, Helvetia, on its stamps?",Switzerland,
Geography,General,Hard,In which country was the World Wide Web invented?,Switzerland,
Geography,General,Hard,What is the name of the country that flew the first supersonic airliner in 1968 and had it crash in 1973?,USSR,
Geography,General,Hard,"The Greek historian Herodotus dubbed what country ""the gift of the Nile""?",Egypt,
Geography,General,Hard,In South America what is the largest country?,Brazil,
Geography,General,Hard,Japan sends the most what to Australia?,Tourists,
Geography,General,Hard,Which European country launched Europe's first super high speed passenger train in 1981?,France,
Geography,General,Hard,Portugal is bordered by which country?,Spain,
Geography,General,Hard,India ink was developed in which country?,China,
Geography,General,Hard,What country did 153 of the first 400 Nobel Prize-winning scientists call home?,United States,
Geography,General,Hard,What country first came up with windmills?,Iran,
Geography,General,Hard,A patent on polyester was patented first in what country?,Briton,
Geography,General,Hard,The worlds first mid air collision took place over what country?,Austria,
Geography,General,Hard,Eddy Grant comes from what country?,Guyana,
Geography,General,Hard,Roxette came from which European country?,Sweden,
Geography,General,Hard,Celine Dion was born in what North American Country?,Canada,
Geography,General,Hard,What floral symbol do the country of Peru and the state of Kansas have in common?,Sunflower,
Geography,General,Hard,What country has a volcano called Okinawa?,Japan,
Geography,General,Hard,Lesotho is a southern African Kingdom surround by which country?,South Africa,
Geography,General,Hard,In what country can one find 40 species of lemurs?,Madagascar,
Geography,General,Hard,Which city is called Kapstad in Afrikaans?,Cape Town,
Geography,General,Hard,Which language apart from English is an official language of Canada?,French,
Geography,General,Hard,Okinawa is a volcano in which country?,Japan,
Geography,General,Hard,In which country is an Afghani a unit of currency?,Afghanistan,
Geography,General,Hard,Lesotho is a southern African Kingdom surrounded by which country?,South Africa,
Geography,General,Hard,Madagascar is off which coast of Africa?,East,
Geography,General,Hard,Antigua and Barbuda lie in which Sea?,Caribbean,
Geography,General,Hard,Ottawa is which country's capital?,Canada,
Geography,General,Hard,The Chinese city of Beijing was previously known as what?,Peking,
Geography,General,Hard,Argentina's east coast lies on which ocean?,Atlantic,
Geography,General,Hard,Which South American Canal joins the Atlantic to the Pacific oceans?,Panama,
Geography,General,Hard,What is the largest country in South America?,Brazil,
Geography,General,Hard,Edinburgh is in which country?,Scotland,
Geography,General,Hard,What is the Great Barrier Reef made from?,Coral,
Geography,General,Hard,Which Chinese landmark was viewed from space?,Great Wall of China,
Geography,General,Hard,For most of the 20th century ST. Petersburg has been named after which Soviet Hero?,Lenin,
Geography,General,Hard,Which US holiday state has the Everglades National Park?,Florida,
Geography,General,Hard,How was the Cote D'Ivoire previously known?,Ivory Coast,
Geography,General,Hard,Buckingham Palace is in which English City?,London,
Geography,General,Hard,The River Seine runs through which European capital city?,Paris,
Geography,General,Hard,The Victoria Falls are shared between Zimbabwe and which other country beginning with the same letter?,Zambia,
Geography,General,Hard,Which US state is famous for Disneyland and the film industry?,California,
Geography,General,Hard,The Channel Tunnel links England with which European country?,France,
Geography,General,Hard,What are the Islas Canarias in English?,Canary Islands,
Geography,General,Hard,Which Australian province has New at the beginning of its name?,South Wales,
Geography,General,Hard,Which tourist attraction is the only living structure visible from outer space?,Great Barrier Reef,
